"","name","link"
"1","Prosecutorial Function","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H38&ciq=ncsl&client_md=46f38ae74aadc8531b3ebc6b58efee47&mode=current_text"
"2","Impersonating a Peace Officer","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S115&ciq=ncsl&client_md=fc6fc81b1fbf373800de4523a2effd8e&mode=current_text"
"3","Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H202&ciq=ncsl&client_md=aa806fdaeba25f5314de79e5e2f9f7c0&mode=current_text"
"4","Commendatory Resolution","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2024000HJR241&ciq=ncsl&client_md=c50947f5f5d1e1a2669aa2c64f5dbe60&mode=current_text"
"5","Crimes and Offenses","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2022000H315&ciq=ncsl&client_md=b5d31f332f5e26b84542142389044d65&mode=current_text"
"6","Internal Investigations, Notice, Confidentiality","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1060&ciq=ncsl&client_md=768749bf22e288b8700119324dfff628&mode=current_text"
"7","Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1461&ciq=ncsl&client_md=4d425b35dbcd5aa7c720560af3a1c43c&mode=current_text"
"8","Peace Officers and Discipline","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2024000H2322&ciq=ncsl&client_md=a45e843f6511d1469f386fa66398f927&mode=current_text"
"9","Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2159&ciq=ncsl&client_md=94e2374c42c3d39e3c880b344070f8a3&mode=current_text"
"10","Officers Bill of Rights","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2254&ciq=ncsl&client_md=5ea7e39fa3cd35f9f7c514abffa8e617&mode=current_text"
"11","Disciplinary Appeals","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2340&ciq=ncsl&client_md=79f8194138b66e06d61ade56702b23cf&mode=current_text"
"12","Misconduct Investigations","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2347&ciq=ncsl&client_md=e0717074a4bbecdc126e9c114aea01ab&mode=current_text"
"13","Use-of-Force","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2168&ciq=ncsl&client_md=3edbefe5544de51a52634e085524d6ba&mode=current_text"
"14","Law Enforcement Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2295&ciq=ncsl&client_md=de4dc1aebf7ba7007045ab1ae4b79266&mode=current_text"
"15","Complaints Against Peace Officers","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2550&ciq=ncsl&client_md=6d243e7d8ecaf8ccdb3c53eeec9da892&mode=current_text"
"16","Investigator Membership Requirements","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2567&ciq=ncsl&client_md=9dd6494455b8995cf06e9f7182c42af8&mode=current_text"
"17","Public Safety Equipment Grant Program","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000S292&ciq=ncsl&client_md=b384ffeb2ed7c39e974fc3aa4f476fdf&mode=current_text"
"18","Qualified Immunity","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000S494&ciq=ncsl&client_md=2291f7ab9f5eb231c85143d62770b1cc&mode=current_text"
"19","Law Enforcement Agency Organization and Staffing","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1197&ciq=ncsl&client_md=f8c9601e99464f5bed69c652dcb0a822&mode=current_text"
"20","Law Enforcement Duty to Intervene Training","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2021000H1865&ciq=ncsl&client_md=22ca6d0d78d042e8d8b87fcf9e8b2224&mode=current_text"
"21","Local Public Employee Organizations","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1941&ciq=ncsl&client_md=94a182cc9d7714cbc52ee3509ea0c6de&mode=current_text"
"22","Public Safety Trailer Bill","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A134&ciq=ncsl&client_md=2b68d910c69032b48cd232673fad5a46&mode=current_text"
"23","Peace Officers: Determination of Bias","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A443&ciq=ncsl&client_md=fa88568852a562c2285c5a2b13d85940&mode=current_text"
"24","Peace Officers: Certification: Civil Rights","http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S2&ciq=ncsl&client_md=459a4e971d625a775a82e8f945559292&mode=current_text"
